,event_type,system_time,old_clock_time,new_clock_time,message_queue_length
0,internal,1252570564,0,1,0
1,receive,1757196119,1,4,0
2,receive,2263009011,4,6,0
3,send1,2769252813,6,7,0
4,send2,3274027400,7,8,0
5,receive,3779640204,8,14,0
6,internal,4286399506,14,15,0
7,internal,4791690378,15,16,0
8,receive,5296712355,16,22,0
9,internal,5802523099,22,23,0
10,receive,6307644404,23,28,0
11,send1,6814051839,28,29,0
12,receive,7316948828,29,32,1
13,receive,7822054676,32,33,2
14,receive,8327264109,33,34,2
15,receive,8829363333,34,35,2
16,receive,9337211944,35,37,2
17,receive,9841312037,37,41,2
18,receive,10345752428,41,43,1
19,receive,10851356149,43,44,1
20,receive,11357689619,44,49,1
21,receive,11862412599,49,53,1
22,receive,12369093288,53,54,1
23,receive,12875782818,54,57,1
24,receive,13381284131,57,59,1
25,receive,13886641930,59,62,2
26,receive,14391808355,62,64,2
27,receive,14899339245,64,65,2
28,receive,15404000653,65,67,1
29,receive,15909433786,67,71,0
30,receive,16416324243,71,77,0
31,receive,16920050725,77,79,0
32,internal,17424844920,79,80,0
33,internal,17929766096,80,81,0
34,receive,18435670537,81,86,1
35,receive,18941001234,86,88,2
36,receive,19445643114,88,89,1
37,receive,19947829397,89,91,0
38,send1,20452853390,91,92,0
39,receive,20956196749,92,101,0
40,sendboth,21462267064,101,102,0
41,sendboth,21968974790,102,103,0
42,receive,22472932406,103,108,0
43,sendboth,22978936106,108,109,0
44,internal,23485629067,109,110,0
45,receive,23991216737,110,115,0
46,receive,24495553517,115,117,1
47,receive,25002262943,117,118,1
48,receive,25507564505,118,121,1
49,receive,26009419154,121,122,2
50,receive,26515820345,122,125,1
51,receive,27020129465,125,126,0
52,receive,27522860315,126,132,0
53,receive,28028962430,132,134,0
54,receive,28531782218,134,137,0
55,receive,29036777449,137,141,0
56,send1,29541043655,141,142,0
57,internal,30045726578,142,143,0
58,receive,30552178437,143,146,1
59,receive,31054653730,146,148,2
60,receive,31557955685,148,149,2
61,receive,32064055594,149,150,2
62,receive,32569215792,150,153,3
63,receive,33074962794,153,155,2
64,receive,33579057514,155,156,1
65,receive,34085704966,156,157,0
66,internal,34591183380,157,158,0
67,receive,35095406646,158,169,1
68,receive,35599370209,169,170,2
69,receive,36105437518,170,171,1
70,receive,36612084484,171,173,1
71,receive,37113719188,173,178,2
72,receive,37619672640,178,179,1
73,receive,38125509153,179,180,1
74,receive,38628692445,180,183,0
75,receive,39135381960,183,188,0
76,internal,39638405092,188,189,0
77,receive,40140014036,189,193,0
78,send2,40646093557,193,194,0
79,send2,41152021944,194,195,0
80,send1,41653866259,195,196,0
81,receive,42160549622,196,200,0
82,internal,42665045627,200,201,0
83,receive,43169042294,201,209,0
84,receive,43674395502,209,212,0
85,send1,44179854852,212,213,0
86,internal,44681631441,213,214,0
87,receive,45185546566,214,217,0
88,internal,45691048577,217,218,0
89,receive,46195938587,218,224,1
90,receive,46699384460,224,225,2
91,receive,47202242336,225,226,2
92,receive,47703968864,226,227,2
93,receive,48208776680,227,229,2
94,receive,48712701549,229,230,1
95,receive,49218608773,230,234,2
96,receive,49722918351,234,237,3
97,receive,50228530740,237,240,2
98,receive,50735221841,240,241,2
99,receive,51239775623,241,243,1
100,receive,51745174834,243,246,1
101,receive,52251888788,246,251,0
102,receive,52757227371,251,257,0
103,internal,53261820061,257,258,0
104,receive,53767134960,258,261,1
105,receive,54272152333,261,262,2
106,receive,54778464550,262,263,2
107,receive,55285182174,263,264,1
108,receive,55791658029,264,266,0
109,send1,56296034890,266,267,0
110,internal,56801802089,267,268,0
111,internal,57305930560,268,269,0
112,receive,57811756835,269,281,0
113,receive,58313454811,281,283,1
114,receive,58818591278,283,284,0
115,send2,59323659566,284,285,0
116,internal,59829143382,285,286,0
117,internal,60335088861,286,287,0
118,sendboth,60836803288,287,288,0
119,sendboth,61343060439,288,289,0
120,sendboth,61848535997,289,290,0
121,sendboth,62354558221,290,291,0
122,send1,62860183833,291,292,0
123,internal,63361986255,292,293,0
124,send2,63868387809,293,294,0
125,internal,64374660888,294,295,0
126,send1,64879583170,295,296,0
127,sendboth,65385031992,296,297,0
128,send1,65886942564,297,298,0
129,receive,66391638279,298,320,0
130,internal,66895003333,320,321,0
131,receive,67401658333,321,327,0
132,internal,67906902203,327,328,0
133,internal,68411640782,328,329,0
134,internal,68918328174,329,330,0
135,receive,69424710438,330,337,0
136,receive,69930017954,337,338,0
137,receive,70436258196,338,339,0
138,internal,70939469120,339,340,0
139,send1,71444941263,340,341,0
140,receive,71948138668,341,351,0
141,receive,72452333821,351,352,0
142,receive,72956724270,352,355,1
143,receive,73460098473,355,356,1
